major, tag
思想政治教育专业,政治
思想政治教育专业,教育
思想政治教育专业(理),政治
思想政治教育专业(理),教育
哲学,美学
哲学,心理学
汉语言文学,写作
汉语国际教育,文学
汉语国际教育,教育
社会学,心理学
社会学,写作
社会工作,心理学
社会工作,写作
广播电视学,媒体
广播电视学,摄影
广播电视学,播音
广播电视学,策划
广播电视学,写作 
新闻学,媒体
新闻学,摄影
新闻学,播音
新闻学,策划
新闻学,写作
广告学,媒体
广告学,策划
广告学,写作
广告学,平面设计
广告学,心理学
广告学,美学
法学,法律 
金融学,金融
信息资源管理,管理
档案学,管理
信息管理与信息系统,管理
工程管理,管理
管理科学,管理
工商管理,管理
物流管理,管理
人力资源管理,管理
会计学,财务
财务管理,管理
财务管理,财务
知识产权,法律
知识产权,热门
应用化学,化学	
高分子材料与工程,化学	
机械电子工程,人工智能
机械电子工程,机器人 
工业工程,管理
工业设计,艺术与技术结合
工业设计,手工
工业设计,美学
工业设计,设计 
电气工程及其自动化,热门   
机械设计制造及其自动化,机器人
机械设计制造及其自动化,结构
智能制造工程,热门  
自动化,人工智能  
通信工程,热门  				
计算机科学与技术,热门
计算机科学与技术,人工智能 
智能科学与技术,热门
智能科学与技术,人工智能 
环境工程,化学
化学工程与工艺,化学
生物工程,生物
食品科学与工程,化学 生物
土木工程,结构
建筑学,艺术与技术结合
建筑学,手工
建筑学,美学
建筑学,设计 
城乡规划,艺术
城乡规划,手工 
数字媒体技术,艺术与技术结合
数字媒体技术,媒体
数字媒体技术,设计
数字媒体技术(卓越工程师计划),艺术与技术结合
数字媒体技术(卓越工程师计划),媒体
数字媒体技术(卓越工程师计划),设计
哲学(授哲学学士学位),美学
哲学(授哲学学士学位),心理学
档案学(授管理学学士学位),管理
信息资源管理(授管理学学士学位),管理
知识产权(授法学学士学位),法律